age,nw_pctile,s
18,1,1.0000
18,2,1.0000
18,3,1.0000
18,4,1.0000
18,5,1.0000
18,6,1.0000
18,7,1.0000
18,8,1.0000
18,9,1.0000
18,10,1.0000
18,11,1.0000
18,12,1.0000
18,13,1.0000
18,14,1.0000
18,15,1.0000
18,16,1.0000
18,17,1.0000
18,18,1.0000
18,19,1.0000
18,20,1.0000
18,21,1.0000
18,22,1.0000
18,23,1.0000
18,24,1.0000
18,25,1.0000
18,26,1.0000
18,27,1.0000
18,28,1.0000
18,29,1.0000
18,30,1.0000
18,31,1.0000
18,32,1.0000
18,33,1.0000
18,34,1.0000
18,35,1.0000
18,36,1.0000
18,37,1.0000
18,38,1.0000
18,39,1.0000
18,40,1.0000
18,41,1.0000
18,42,1.0000
18,43,1.0000
18,44,1.0000
18,45,1.0000
18,46,1.0000
18,47,1.0000
18,48,1.0000
18,49,1.0000
18,50,1.0000
18,51,1.0000
18,52,1.0000
18,53,1.0000
18,54,1.0000
18,55,1.0000
18,56,1.0000
18,57,1.0000
18,58,1.0000
18,59,1.0000
18,60,1.0000
18,61,1.0000
18,62,1.0000
18,63,1.0000
18,64,1.0000
18,65,1.0000
18,66,1.0000
18,67,1.0000
18,68,1.0000
18,69,1.0000
18,70,1.0000
18,71,1.0000
18,72,1.0000
18,73,1.0000
18,74,1.0000
18,75,1.0000
18,76,1.0000
18,77,1.0000
18,78,1.0000
18,79,1.0000
18,80,1.0000
18,81,1.0000
18,82,1.0000
18,83,1.0000
18,84,1.0000
18,85,1.0000
18,86,1.0000
18,87,1.0000
18,88,1.0000
18,89,1.0000
18,90,1.0000
18,91,1.0000
18,92,1.0000
18,93,1.0000
18,94,1.0000
18,95,1.0000
18,96,1.0000
18,97,1.0000
18,98,1.0000
18,99,1.0000
18,100,1.0000
19,1,1.0000
19,2,1.0000
19,3,1.0000
19,4,1.0000
19,5,1.0000
19,6,1.0000
19,7,1.0000
19,8,1.0000
19,9,1.0000
19,10,1.0000
19,11,1.0000
19,12,1.0000
19,13,1.0000
19,14,1.0000
19,15,1.0000
19,16,1.0000
19,17,1.0000
19,18,1.0000
19,19,1.0000
19,20,1.0000
19,21,1.0000
