measure,concept,ty2014,ty2015,ty2016,avg_2014_2016
tax_units,count_millions,10.57,11.09,11.90,11.19
single_tax_units,count_millions,5.37,5.47,5.95,5.60
mfj_tax_units,count_millions,1.99,2.31,2.29,2.20
hoh_tax_units,count_millions,3.22,3.31,3.66,3.40
wages,count_millions,6.25,6.85,7.59,6.90
interest,count_millions,1.58,1.59,1.65,1.61
dividends,count_millions,1.36,1.20,1.13,1.23
capital_gains,count_millions,0.72,0.66,0.52,0.63
pensions,count_millions,1.96,2.11,2.18,2.08
taxable_social_security,count_millions,0.95,1.15,1.06,1.05
unemployment_compensation,count_millions,0.71,0.63,0.59,0.64
net_business_farm,count_millions,4.79,4.87,5.30,4.99
positive_net_business_farm,count_millions,4.69,4.72,5.14,4.85
negative_net_business_farm,count_millions,0.11,0.14,0.16,0.14
schedule_e,count_millions,0.33,0.32,0.38,0.34
other_income,count_millions,0.87,0.61,0.63,0.70
wages,amount_billions,199.4,230,266.8,232.1
interest,amount_billions,0.6,0.5,0.4,0.5
dividends,amount_billions,1.9,1.6,1.4,1.6
capital_gains,amount_billions,1.4,1.1,0.5,1.0
pensions,amount_billions,34.0,40.0,37.9,37.3
taxable_social_security,amount_billions,8.3,10.3,9.3,9.3
unemployment_compensation,amount_billions,3.0,2.8,2.7,2.8
net_business_farm,amount_billions,94.0,95.8,110.7,100.2
positive_net_business_farm,amount_billions,95.0,97.4,113.3,101.9
negative_net_business_farm,amount_billions,-1.0,-1.6,-2.6,-1.7
schedule_e,amount_billions,5.8,8.0,6.9,6.9
other_income,amount_billions,16.6,14.8,16.0,15.8
total_income,amount_billions,367.1,406.6,454.6,409.4
adjusted_gross_income,amount_billions,356.3,395.4,442.5,398.1
deductions,amount_billions,92.4,101.3,109.8,101.2
exemptions,amount_billions,56.0,60.4,66.7,61.0
taxable_income,amount_billions,208.0,233.6,266.0,235.9
tentative_tax,amount_billions,33.9,38.1,44.9,39.0
