year,cpiu
1913,9.9
1914,10.0
1915,10.1
1916,10.9
1917,12.8
1918,15.1
1919,17.3
1920,20.0
1921,17.9
1922,16.8
1923,17.1
1924,17.1
1925,17.5
1926,17.7
1927,17.4
1928,17.1
1929,17.1
1930,16.7
1931,15.2
1932,13.7
1933,13.0
1934,13.4
1935,13.7
1936,13.9
1937,14.4
1938,14.1
1939,13.9
1940,14.0
1941,14.7
1942,16.3
1943,17.3
1944,17.6
1945,18.0
1946,19.5
1947,22.3
1948,24.1
1949,23.8
1950,24.1
1951,26.0
1952,26.5
1953,26.7
1954,26.9
1955,26.8
1956,27.2
1957,28.1
1958,28.9
1959,29.1
1960,29.6
1961,29.9
1962,30.2
1963,30.6
1964,31.0
1965,31.5
1966,32.4
1967,33.4
1968,34.8
1969,36.7
