credit_id,state,year,filing_status,key_concept,income_lower,income_upper,value
family_size_tax_credit,KY,2017,0,1,-Inf,12140,1
family_size_tax_credit,KY,2017,0,1,12141,12626,0.9
family_size_tax_credit,KY,2017,0,1,12627,13111,0.8
family_size_tax_credit,KY,2017,0,1,13112,13597,0.7
family_size_tax_credit,KY,2017,0,1,13598,14082,0.6
family_size_tax_credit,KY,2017,0,1,14083,14568,0.5
family_size_tax_credit,KY,2017,0,1,14569,15054,0.4
family_size_tax_credit,KY,2017,0,1,15055,15418,0.3
family_size_tax_credit,KY,2017,0,1,15419,15782,0.2
family_size_tax_credit,KY,2017,0,1,15783,16146,0.1
family_size_tax_credit,KY,2025,0,1,-Inf,15650,1
family_size_tax_credit,KY,2025,0,1,15651,16276,0.9
family_size_tax_credit,KY,2025,0,1,16277,16902,0.8
family_size_tax_credit,KY,2025,0,1,16903,17528,0.7
family_size_tax_credit,KY,2025,0,1,17529,18154,0.6
family_size_tax_credit,KY,2025,0,1,18155,18780,0.5
family_size_tax_credit,KY,2025,0,1,18781,19406,0.4
family_size_tax_credit,KY,2025,0,1,19407,19876,0.3
family_size_tax_credit,KY,2025,0,1,19877,20345,0.2
family_size_tax_credit,KY,2025,0,1,20346,20815,0.1
family_size_tax_credit,KY,2017,0,2,-Inf,16460,1
family_size_tax_credit,KY,2017,0,2,16461,17118,0.9
family_size_tax_credit,KY,2017,0,2,17119,17777,0.8
family_size_tax_credit,KY,2017,0,2,17778,18435,0.7
family_size_tax_credit,KY,2017,0,2,18436,19094,0.6
family_size_tax_credit,KY,2017,0,2,19095,19752,0.5
family_size_tax_credit,KY,2017,0,2,19753,20410,0.4
family_size_tax_credit,KY,2017,0,2,20411,20904,0.3
family_size_tax_credit,KY,2017,0,2,20905,21398,0.2
family_size_tax_credit,KY,2017,0,2,21399,21892,0.1
family_size_tax_credit,KY,2025,0,2,-Inf,21150,1
family_size_tax_credit,KY,2025,0,2,21151,21996,0.9
family_size_tax_credit,KY,2025,0,2,21997,22842,0.8
family_size_tax_credit,KY,2025,0,2,22843,23688,0.7
family_size_tax_credit,KY,2025,0,2,23689,24534,0.6
family_size_tax_credit,KY,2025,0,2,24535,25380,0.5
family_size_tax_credit,KY,2025,0,2,25381,26226,0.4
family_size_tax_credit,KY,2025,0,2,26227,26861,0.3
family_size_tax_credit,KY,2025,0,2,26862,27495,0.2
family_size_tax_credit,KY,2025,0,2,27496,28130,0.1
family_size_tax_credit,KY,2017,0,3,-Inf,20780,1
family_size_tax_credit,KY,2017,0,3,20781,21611,0.9
family_size_tax_credit,KY,2017,0,3,21612,22442,0.8
family_size_tax_credit,KY,2017,0,3,22443,23274,0.7
family_size_tax_credit,KY,2017,0,3,23275,24105,0.6
family_size_tax_credit,KY,2017,0,3,24106,24936,0.5
family_size_tax_credit,KY,2017,0,3,24937,25767,0.4
family_size_tax_credit,KY,2017,0,3,25768,26391,0.3
family_size_tax_credit,KY,2017,0,3,26392,27014,0.2
family_size_tax_credit,KY,2017,0,3,27015,27637,0.1
family_size_tax_credit,KY,2025,0,3,-Inf,26650,1
family_size_tax_credit,KY,2025,0,3,26651,27716,0.9
family_size_tax_credit,KY,2025,0,3,27717,28782,0.8
family_size_tax_credit,KY,2025,0,3,28783,29848,0.7
family_size_tax_credit,KY,2025,0,3,29849,30914,0.6
family_size_tax_credit,KY,2025,0,3,30915,31980,0.5
family_size_tax_credit,KY,2025,0,3,31981,33046,0.4
family_size_tax_credit,KY,2025,0,3,33047,33846,0.3
family_size_tax_credit,KY,2025,0,3,33847,34645,0.2
family_size_tax_credit,KY,2025,0,3,34646,35445,0.1
family_size_tax_credit,KY,2017,0,4,-Inf,25100,1
family_size_tax_credit,KY,2017,0,4,25101,26104,0.9
family_size_tax_credit,KY,2017,0,4,26105,27108,0.8
family_size_tax_credit,KY,2017,0,4,27109,28112,0.7
family_size_tax_credit,KY,2017,0,4,28113,29116,0.6
family_size_tax_credit,KY,2017,0,4,29117,30120,0.5
family_size_tax_credit,KY,2017,0,4,30121,31124,0.4
family_size_tax_credit,KY,2017,0,4,31125,31877,0.3
family_size_tax_credit,KY,2017,0,4,31878,32630,0.2
family_size_tax_credit,KY,2017,0,4,32631,33383,0.1
family_size_tax_credit,KY,2025,0,4,-Inf,32150,1
family_size_tax_credit,KY,2025,0,4,32151,33436,0.9
family_size_tax_credit,KY,2025,0,4,33437,34722,0.8
family_size_tax_credit,KY,2025,0,4,34723,36008,0.7
family_size_tax_credit,KY,2025,0,4,36009,37294,0.6
family_size_tax_credit,KY,2025,0,4,37295,38580,0.5
family_size_tax_credit,KY,2025,0,4,38581,39866,0.4
family_size_tax_credit,KY,2025,0,4,39867,40831,0.3
family_size_tax_credit,KY,2025,0,4,40832,41695,0.2
family_size_tax_credit,KY,2025,0,4,41696,42760,0.1
