household_type,income_group,year,means_tested_transfers,medicaid_and_chip,snap,ssi,other_transfers
all_households,all_quintiles,1979,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1980,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1981,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1982,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1983,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1984,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1985,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1986,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1987,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1988,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1989,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1990,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1991,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1992,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1993,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1994,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1995,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1996,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1997,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1998,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1999,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2000,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2001,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2002,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2003,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2004,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2005,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2006,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2007,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2008,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2009,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2010,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2011,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2012,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2013,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2014,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2015,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2016,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2017,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2018,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2019,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2020,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2021,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2022,100.0,100.0,100.0,100.0,100.0
all_households,lowest_quintile,1979,72.5,71.6,74.3,74.5,71.6
all_households,lowest_quintile,1980,71.8,71.8,71.9,74.9,70.4
all_households,lowest_quintile,1981,71.4,71.0,69.8,73.1,71.8
all_households,lowest_quintile,1982,73.7,72.1,74.1,73.9,74.6
all_households,lowest_quintile,1983,76.3,76.2,75.7,73.1,77.8
all_households,lowest_quintile,1984,74.0,73.9,74.0,72.0,74.9
all_households,lowest_quintile,1985,76.3,75.1,78.5,72.3,77.8
all_households,lowest_quintile,1986,75.9,74.7,78.9,72.0,77.3
all_households,lowest_quintile,1987,77.3,75.5,82.9,71.0,79.6
all_households,lowest_quintile,1988,77.4,75.0,81.5,72.8,80.2
all_households,lowest_quintile,1989,75.5,73.1,80.2,69.4,78.9
all_households,lowest_quintile,1990,74.2,71.1,78.9,66.9,79.0
all_households,lowest_quintile,1991,71.8,69.1,73.2,67.9,76.3
all_households,lowest_quintile,1992,68.9,66.0,69.4,66.8,74.1
all_households,lowest_quintile,1993,68.1,64.8,68.8,65.3,74.0
all_households,lowest_quintile,1994,67.9,63.5,69.6,68.5,73.6
all_households,lowest_quintile,1995,68.4,64.1,70.4,67.6,75.1
all_households,lowest_quintile,1996,68.7,64.3,71.0,69.7,74.9
all_households,lowest_quintile,1997,68.0,63.3,69.4,70.3,75.7
all_households,lowest_quintile,1998,66.0,60.9,71.8,68.6,74.8
all_households,lowest_quintile,1999,64.6,59.8,72.4,66.5,74.8
all_households,lowest_quintile,2000,64.3,59.4,72.4,69.9,74.1
all_households,lowest_quintile,2001,63.2,58.3,73.1,69.0,73.0
all_households,lowest_quintile,2002,61.0,56.3,68.3,66.3,72.6
all_households,lowest_quintile,2003,59.9,55.1,67.4,66.8,71.5
all_households,lowest_quintile,2004,59.0,54.6,66.5,64.0,72.0
all_households,lowest_quintile,2005,59.2,54.0,68.0,65.3,73.7
all_households,lowest_quintile,2006,59.1,53.5,68.4,63.5,73.2
all_households,lowest_quintile,2007,58.6,52.7,68.7,64.3,72.4
all_households,lowest_quintile,2008,57.4,52.3,64.7,62.1,71.0
all_households,lowest_quintile,2009,55.5,49.9,60.1,62.5,70.3
all_households,lowest_quintile,2010,55.5,50.4,57.2,63.7,69.2
all_households,lowest_quintile,2011,55.3,50.6,57.2,63.0,68.6
all_households,lowest_quintile,2012,55.1,50.2,59.0,63.4,67.9
