"agi_group","agi_group_label","total_tax_units","snap_spending_2028_base","snap_spending_2028_housebr","avg_chg_snap","medicaid_spending_2028_base","medicaid_spending_2028_housebr","avg_chg_medicaid"
0,"Negative income",0.131318916129254,16.6616053391562,13.5647361946851,-23.5828107309607,435.270361862356,403.032063551641,-245.496225989127
1,"Bottom quintile",38.8818379428513,40023.0835107661,32584.0492839862,-191.324140533526,241205.195735357,223340.333489878,-459.46547773119
2,"Second quintile",39.080728156649,33113.4137844785,26958.6701490462,-157.487946763988,159657.370212421,147832.347469338,-302.579386332925
3,"Middle quintile",39.0768668520541,17469.4465135669,14222.425066497,-83.0931880839661,107913.799449464,99921.1641512338,-204.536236963172
4,"Fourth quintile",39.0805272398463,5505.33565412807,4482.06666112423,-26.1836025579646,65499.1799356625,60647.9833303195,-124.133345887839
5,"Top quintile",39.2728774762311,1362.558931721,1109.3020199603,-6.44864670061357,24539.1843052304,22721.6896783305,-46.2786213717071
6,"Top 10%",19.5356358930733,604.379218647254,492.044103531449,-5.75026662713527,8632.3780488126,7993.02098926512,-32.727732183736
7,"Top 5%",9.76867186549049,296.160344101038,241.113437587953,-5.63504509835646,4012.74828086403,3715.5440890353,-30.4242169172104
8,"Top 1%",1.95149424727161,59.1641541185225,48.1673960259638,-5.63504509835646,801.62946341959,742.25677912791,-30.4242169172105
9,"Top 0.1%",0.194540349647287,5.89794986323701,4.80170621952451,-5.63504509835646,79.9127521483847,73.9940143515657,-30.4242169172105
